#,Player,UUID,Country,Role,Bowling Style,Bowl Balls,Wickets,Economy,Bat Innings,Bat Runs,Style
2158,J Lassayo,dee70255,Sierra Leone,Batter,,72,5,7.33,6,11,nan
2159,Sanjay Kumar Ahir,d11e0c76,Panama,Batter,,72,3,6.17,5,12,nan
2160,Abdullah Sheikh,336a85f6,Norway,Batter,,72,2,6.08,4,16,nan
2161,Farzan Afzal,6ebf4d4e,Spain,Batter,,72,2,3.67,4,121,nan
2162,S Thakur,a073f2ff,Romania,Batter,,72,3,8.25,4,89,nan
2163,TG Thamae,d08fe309,Lesotho,Batter,,72,3,7.83,4,2,nan
2164,Muhammad Fahad,3f778477,Turkey,Batter,,72,1,7.92,4,211,nan
2165,K Weeraratne,7e38d2de,Sri Lanka,Batter,,72,4,7.92,4,45,nan
2166,TGJ Gruijters,20f4a109,Netherlands,Batter,,72,3,6.08,4,40,nan
2167,ND Buchanan,9a211e08,Australia,Batter,,72,4,10.33,4,11,nan
2168,DC Green,cfd84210,West Indies,Batter,,72,3,9.58,4,42,nan
2169,Raag Kapur,296358c9,Hong Kong,Batter,,72,3,7.33,3,12,nan
2170,Tariq Aziz,a049c39b,Portugal,Batter,,72,6,4.42,3,27,nan
2171,K Gilham,c2fd51b1,Czech Republic,Batter,,72,4,6.58,3,15,nan
2172,Yasir Mehmood,af8d9fd9,Cyprus,Batter,,72,4,6.5,3,55,nan
2173,ZE Matsinhe,03ef382c,Mozambique,Batter,,72,1,7.17,3,8,nan
2174,Alexandros Karvelas,13f21a98,Greece,Batter,,72,1,6.92,3,70,nan
2175,Danish Jasnaik,d24ad3e5,Bahrain,Batter,,72,1,9.67,3,6,nan
2176,SPS Shikongo,4043e3b0,Namibia,Batter,,72,4,6.17,3,6,nan
2177,V Khanduri,f0f2b9c5,Cyprus,Batter,,72,5,7.83,3,9,nan
2178,Ali Rasool,1a710f40,Bulgaria,Batter,,72,2,10.5,3,10,nan
2179,HP Kingston,c89e4c9f,Australia,Batter,,72,4,10.5,3,29,nan
2180,NCK Liyanage,d1b5efdf,Malaysia,Batter,,72,2,5.83,2,8,nan
2181,D Kegasitswe,3676b91f,Botswana,Batter,,72,2,12.33,2,5,nan
2182,A Orfila,7c6293d1,Gibraltar,Batter,,72,2,7.75,2,2,nan
2183,P Arrighi,79e754db,Argentina,Batter,,72,4,7.0,2,27,nan
2184,U Bhagwan,44a2bb4f,Canada,Batter,,72,2,9.67,2,5,nan
2185,DR Mousley,876dbe2d,England,Batter,,72,2,8.25,2,19,nan
2186,Adil Khan,b4706200,Germany,Batter,,72,6,6.5,2,17,nan
2187,Ronitkumar Ahir,402ea377,Panama,Batter,,72,11,2.33,2,8,nan
2188,Zahoor Ahmad,e0c9637f,Saudi Arabia,Batter,,72,3,5.83,2,7,nan
2189,JAR Blain,e662b18f,Scotland,Batter,,72,4,5.08,2,3,nan
2190,AK Heal,78ba5d1b,,Batter,,72,3,7.17,2,1,nan
2191,MG Gale,9ef8ebb9,,Batter,,72,1,8.33,2,4,nan
2192,ML Cummins,92aa28fe,,Batter,,72,1,8.08,2,10,nan
2193,ROO Jordan,416881d1,West Indies,Batter,,72,5,8.83,2,15,nan
2194,J Mulder,6b64e7a3,Ireland,Batter,,72,7,4.92,1,1,nan
2195,TCW Veillard,eaeb065e,Guernsey,Batter,,72,3,6.42,1,3,nan
2196,D Mogan,adc96559,Malaysia,Batter,,72,1,9.58,1,2,nan
2197,CV Harrison,b0b80a99,Gibraltar,Batter,,72,4,8.5,1,2,nan
2198,ADL Stokoe,bf09f51d,Isle of Man,Batter,,72,3,5.42,1,4,nan
2199,Imtiaz Khan,1500d104,Saudi Arabia,Batter,,72,4,8.58,1,1,nan
2200,PC Connell,5500c675,Ireland,Batter,,72,6,5.58,1,1,nan
2201,Mohammad Abbas,a089f93f,Pakistan,Batter,,72,5,5.75,1,1,nan
2202,Fawad Ali,b3034790,Pakistan,Batter,,72,2,8.5,1,2,nan
2203,Abdul Bashir,b6af1647,Germany,Batter,,72,2,8.33,0,0,nan
2204,V Puthur,1e030637,India,Batter,,72,6,9.0,0,0,nan
2205,MW Dixon,314ed7e6,Australia,Batter,,72,3,8.0,0,0,nan
2206,S Lakshan,213fd5e9,Pakistan,Batter,,72,3,8.83,0,0,nan
2207,ML Kostic,79e23cc5,Serbia,Batter,,71,3,11.92,7,37,nan
2208,S Thanikaithasan,498aacac,Denmark,Batter,,70,1,7.8,25,413,nan
2209,Ameer Saiyed,2f22325f,Botswana,Batter,,70,3,8.83,10,154,nan
2210,A Djorovic,677c18f9,Serbia,Batter,,70,1,11.4,4,27,nan
2211,Karim Janat,62175638,,Batter,,70,3,9.86,4,14,nan
2212,OP Stone,3f659464,England,Batter,,70,0,8.14,2,2,nan
2213,TP Sudhindra,2f3817ce,,Batter,,70,1,10.97,0,0,nan
2214,J Broad,ec5160d7,Germany,Batter,,69,1,7.74,9,288,nan
2215,Aung Ko Ko,648d060e,Myanmar,Batter,,69,5,6.0,6,16,nan
2216,AA Noffke,b69e69ed,Australia,Batter,,69,5,6.52,1,9,nan
2217,I Asif,663ad386,Austria,Batter,,68,5,6.88,11,157,nan
2218,B Geeves,50758325,Australia,Batter,,68,3,10.85,0,0,nan
2219,Tilak Varma,b0482a1d,India,Batter,,67,3,6.27,87,2656,nan
2220,Sabbir Rahman,7147f314,Bangladesh,Batter,,67,6,6.81,44,950,nan
2221,Fakhar Zaman,1777c020,Pakistan,Batter,,66,2,6.36,213,5540,nan
2222,EMDY Munaweera,5a22d91c,Sri Lanka,Batter,,66,1,9.09,24,396,nan
2223,P Murungi,fbdc5ab1,Uganda,Batter,,66,3,6.82,23,231,nan
2224,Y Nagar,662c47a6,,Batter,,66,4,10.45,20,285,nan
2225,MJ North,99464591,Australia,Batter,,66,2,7.91,19,459,nan
2226,Salvin Stanly,a6631b55,Cambodia,Batter,,66,2,8.36,17,142,nan
2227,K Goel,a1f1829d,Pakistan,Batter,,66,0,8.36,16,218,nan
2228,Maaz Khan,6f14ddcb,Lesotho,Batter,,66,2,10.73,11,128,nan
2229,PV Vuniwaqa,653a7fa8,Fiji,Batter,,66,3,8.27,11,427,nan
2230,Usman Arif,fccc2d5a,Norway,Batter,,66,5,8.36,10,146,nan
2231,H Kaushik,2bfec670,United Arab Emirates,Batter,,66,2,6.0,9,144,nan
2232,Bilal Safdar,1c4161b3,Norway,Batter,,66,3,5.36,8,73,nan
2233,Zafer Durmaz,755819f4,Turkey,Batter,,66,3,6.82,8,69,nan
2234,Jai Sinh,10ae134c,Switzerland,Batter,,66,9,6.73,8,20,nan
2235,D Kalvin,895ae8b6,Seychelles,Batter,,66,2,8.55,6,74,nan
2236,Mohammed Qasim,a120e81b,United Arab Emirates,Batter,,66,7,5.0,5,54,nan
2237,KMA Aziz,e8cfd743,Ivory Coast,Batter,,66,2,9.09,5,13,nan
2238,MS Graham,7f2cb055,Bahamas,Batter,,66,2,7.09,4,17,nan
2239,Imran Ahmed Kaneez,8c3cbee9,Costa Rica,Batter,,66,5,3.82,4,8,nan
2240,E Kuchey,5d6064b0,Finland,Batter,,66,0,8.64,4,15,nan
2241,Madhawa Basnayaka,6f337915,Finland,Batter,,66,5,7.64,4,41,nan
2242,D Svilicic,fa83d1b6,Croatia,Batter,,66,1,12.0,4,5,nan
2243,Shuvagata Hom,bb01f9e0,Bangladesh,Batter,,66,2,6.45,4,35,nan
2244,W Viraliliu,a89730a9,Vanuatu,Batter,,66,1,9.0,3,8,nan
2245,C Floyd,527c2dab,Netherlands,Batter,,66,2,9.27,3,24,nan
2246,Asrar Ahmed,88251c6c,Greece,Batter,,66,3,10.09,3,62,nan
2247,D Ahir,424a646f,Panama,Batter,,66,3,6.55,3,22,nan
2248,R Dhiman,0d4d3cb1,Bulgaria,Batter,,66,3,6.82,3,17,nan
2249,AN Hyobeom,8a00eec1,South Korea,Batter,,66,4,7.09,3,9,nan
2250,M Badenhorst,8a22e5f0,Botswana,Batter,,66,5,8.55,3,7,nan
2251,Hassnain Shah,7cb931fc,Oman,Batter,,66,2,9.18,3,1,nan
2252,D St Ange,ede30898,Turks and Caicos Island,Batter,,66,3,6.09,3,17,nan
2253,R Edwards,4c5a72e2,Cayman Islands,Batter,,66,4,7.55,3,8,nan
2254,Basharat Hussain,dcdc9b49,South Korea,Batter,,66,1,9.18,3,3,nan
2255,Ajhar Alam,b18d78f6,Czech Republic,Batter,,66,3,9.55,3,5,nan
2256,H Osinde,2b8b75a0,Canada,Batter,,66,3,8.36,3,11,nan
2257,Mohammad Mohsin,79f8472d,Pakistan,Batter,,66,2,11.55,3,25,nan
2258,P Buccimazza,ddc7e056,Portugal,Batter,,66,3,5.27,2,2,nan
2259,Rohan Bhavesh Patel,7f46e127,Bulgaria,Batter,,66,4,7.27,2,5,nan
2260,SM Sharma,cec44e08,United Arab Emirates,Batter,,66,1,10.0,2,6,nan
2261,R Thapliyal,5947220c,Belgium,Batter,,66,4,8.55,2,5,nan
2262,L Nyarko,c391d077,Ghana,Batter,,66,4,3.55,2,0,nan
2263,R Parkin,f2c0c73d,Estonia,Batter,,66,2,7.27,2,4,nan
2264,A Gupta,59e1abef,Norway,Batter,,66,3,7.55,2,4,nan
2265,G Wijekoon,1fbef290,Sri Lanka,Batter,,66,2,8.45,2,1,nan
2266,DNT Zoysa,e0351c86,,Batter,,66,2,8.45,2,11,nan
2267,AP Dole,dbc50253,India,Batter,,66,5,9.55,2,34,nan
2268,Nauman Ali,54c58a5e,Pakistan,Batter,,66,2,7.73,2,5,nan
2269,I Wijesundera,be620896,,Batter,,66,4,6.09,2,12,nan
2270,MA Aponso,e2ee90d9,Sri Lanka,Batter,,66,4,8.09,1,0,nan
2271,JL Martel,fb7dc205,Guernsey,Batter,,66,6,5.18,1,13,nan
2272,D Polpitiya,b7062209,Eswatini,Batter,,66,4,7.82,1,0,nan
2273,Ansh Patel,9e76cdb3,Canada,Batter,,66,5,3.09,1,0,nan
2274,A Nel,2503e881,South Africa,Batter,,66,3,6.64,1,0,nan
2275,A Shahzad,a73321d3,England,Batter,,66,3,8.73,1,0,nan
2276,RMS Eranga,8f7a598f,Sri Lanka,Batter,,66,3,7.73,1,6,nan
2277,NM Carter,7805af0f,Scotland,Batter,,66,2,8.36,1,1,nan
2278,PHT Kaushal,ef6aea67,Pakistan,Batter,,66,1,9.0,1,0,nan
2279,A Desai,9c1b1f4b,United States of America,Batter,,66,5,6.55,0,0,nan
2280,MD Bates,1b3acd33,New Zealand,Batter,,66,4,9.64,0,0,nan
2281,AW Summers,a35c119e,Australia,Batter,,66,0,7.64,0,0,nan
2282,AM Rajpurohit,06b8bdb3,Gambia,Batter,,65,3,9.69,3,26,nan
2283,AAP Atkinson,70d57519,England,Batter,,65,6,10.89,2,10,nan
2284,Waseem Muhammad,6f02fe2a,United Arab Emirates,Batter,,64,3,10.88,84,2663,nan
2285,Ehsan Nawaz,70456281,Hong Kong,Batter,,64,4,9.0,2,9,nan
2286,LR Butterworth,ff6707cc,,Batter,,64,4,7.22,2,2,nan
2287,Riaz Afridi,281ce63c,Czech Republic,Batter,,63,3,7.71,2,14,nan
2288,Shakeel Zeb,4709e746,Denmark,Batter,,63,5,7.05,1,13,nan
2289,Bilal Tahir,3cf06094,Kuwait,Batter,,62,5,5.52,46,641,nan
2290,S Nadigotla,b78b3ffd,Romania,Batter,,62,4,6.29,27,421,nan
2291,JM Kemp,6581d753,South Africa,Batter,,62,3,8.42,12,267,nan
2292,N Advani,e4f6147b,Gibraltar,Batter,,62,5,7.06,4,4,nan
2293,M Mwamadi,00029c30,Malawi,Batter,,62,3,6.97,3,5,nan
2294,AV Lazarus,30c917bf,Thailand,Batter,,61,0,6.49,32,715,nan
2295,A Dizija,6483c062,Serbia,Batter,,61,2,11.21,27,601,nan
2296,NA McSweeney,e94d2d50,Australia,Batter,,61,5,8.07,27,646,nan
2297,Wang Qi,12c9c558,China,Batter,,61,4,4.13,4,3,nan
2298,H Masakadza,31fbf891,Zimbabwe,Batter,,60,2,9.5,54,1230,nan
2299,NS Dhaliwal,cbabd6ad,Canada,Batter,,60,4,5.8,41,1157,nan
2300,J Liyanage,84212ffb,Sri Lanka,Batter,,60,1,11.7,21,345,nan
2301,Ramandeep Singh,be24ead0,India,Batter,,60,7,9.7,21,232,nan
2302,A Parima,866d3ac8,Cook Islands,Batter,,60,5,6.6,15,250,nan
2303,M Spoors,da4a1e46,Canada,Batter,,60,2,8.4,13,347,nan
2304,LF Muller,f6411545,Brazil,Batter,,60,5,6.5,12,245,nan
2305,J Glen,151c258b,West Indies,Batter,,60,7,5.9,11,133,nan
2306,Arun Yadav,53ace082,Tanzania,Batter,,60,5,9.7,10,335,nan
2307,S Kamate,d7af6207,Mali,Batter,,60,3,8.0,9,28,nan
2308,Ismaila Tanba,180e2c15,Gambia,Batter,,60,3,9.0,9,121,nan
2309,TP Allen,30baaf1f,United States of America,Batter,,60,3,11.2,8,69,nan
2310,Saeed Ahmed,63d6e16e,Sweden,Batter,,60,3,9.6,8,151,nan
2311,K Sathish,1cad1601,Singapore,Batter,,60,4,7.3,8,128,nan
2312,R Baruah,41b63677,Estonia,Batter,,60,4,8.3,7,76,nan
2313,Sohail Ahmad,7e439c80,Croatia,Batter,,60,3,11.6,6,51,nan
2314,P Kotoisuva,b3e5205c,Fiji,Batter,,60,3,6.1,6,38,nan
2315,AM Ellis,f987245c,New Zealand,Batter,,60,2,10.3,5,25,nan
2316,B Isaac,2c14421f,St Helena,Batter,,60,0,8.2,4,20,nan
2317,V Marghashayam,0d7e506a,Czech Republic,Batter,,60,4,10.2,4,5,nan
2318,Muhammed Turkmen,8e7e982c,Turkey,Batter,,60,3,6.5,4,39,nan
2319,Virendra Kumar,20988564,Israel,Batter,,60,4,7.0,4,22,nan
2320,S Vasilakis,e18e9598,Greece,Batter,,60,3,6.6,4,12,nan
2321,KY Wilfried,5e72608f,Ivory Coast,Batter,,60,3,11.3,4,17,nan
2322,Rupesh Singh,30b93df1,Nepal,Batter,,60,2,9.1,4,65,nan
2323,J Fernando,898a21a4,Romania,Batter,,60,1,9.0,4,64,nan
2324,Inam-ul-Haq,15c766c3,Qatar,Batter,,60,2,8.2,3,80,nan
2325,T Kahamker,125853c3,Israel,Batter,,60,7,6.5,3,6,nan
2326,T Yotharat,1f74f675,Thailand,Batter,,60,3,5.2,3,10,nan
2327,SG Diaby,fe3e9880,Mali,Batter,,60,1,4.9,3,9,nan
2328,Rahman Ademi,a9fd6ca3,Serbia,Batter,,60,1,7.3,3,2,nan
2329,Asim Ashraf,ca47f0fb,Gambia,Batter,,60,0,11.2,3,42,nan
2330,FC Muniz,c9c2a7e8,Brazil,Batter,,60,2,5.5,3,9,nan
2331,T Henderson,0a4ebc61,South Africa,Batter,,60,1,7.1,3,11,nan
2332,LN Onyango,68c3f79d,Kenya,Batter,,60,2,11.1,3,12,nan
2333,Mohsin Zaki,09c766ec,Bahrain,Batter,,60,3,7.8,2,5,nan
2334,Aakash Chand,279c51f0,Nepal,Batter,,60,7,7.9,2,2,nan
2335,ST Yalimaiwai,d88f9163,Fiji,Batter,,60,4,5.7,2,1,nan
2336,E Frimpong,3c13fc3b,Ghana,Batter,,60,4,3.1,2,6,nan
2337,S Vaz,ad67ab56,Portugal,Batter,,60,6,6.4,2,8,nan
2338,DR Tuffey,43936951,New Zealand,Batter,,60,3,9.2,2,5,nan
2339,RP Kellepotha,d13d1dd0,,Batter,,60,3,7.5,2,2,nan
2340,DL Piedt,537f5ab2,,Batter,,60,2,7.5,2,9,nan
2341,R Mahajan,ea0e8ea2,Philippines,Batter,,60,2,9.2,1,1,nan
2342,LP Kasturiarachchige,82af7861,Austria,Batter,,60,3,7.9,1,5,nan
2343,Qasim Anwar,3852600a,Cyprus,Batter,,60,3,5.1,1,1,nan
2344,A Andrews,1d45c01a,Switzerland,Batter,,60,4,5.9,1,4,nan
2345,VM Vaghela,b6e29ef5,United States of America,Batter,,60,7,3.9,1,29,nan
2346,W Kokaua,82a33cac,Cook Islands,Batter,,60,6,8.8,1,2,nan
2347,A Mehmood,7cefb2a2,Hong Kong,Batter,,60,1,10.1,1,14,nan
2348,K Lake,20321b0c,Japan,Batter,,60,3,4.1,1,9,nan
2349,Ikbal Hossain,e01d2dae,France,Batter,,60,3,4.9,1,5,nan
2350,Kamal Raiz,b3ba0c35,Cyprus,Batter,,60,4,4.3,1,5,nan
2351,N Ndzeute,63b1093f,Mozambique,Batter,,60,4,7.8,1,1,nan
2352,JS Buckingham,10735e1d,,Batter,,60,2,9.3,1,0,nan
2353,SG Whittingham,2d4465da,Scotland,Batter,,60,3,7.5,0,0,nan
2354,UKPW Kumaranayaka,0d24b1f7,Kuwait,Batter,,60,1,6.6,0,0,nan
2355,O Isesele,6034840a,Nigeria,Batter,,60,1,10.0,0,0,nan
2356,LJ Woodcock,9ba59a3c,New Zealand,Batter,,60,1,7.0,0,0,nan
2357,Harsh Dubey,25228673,,Batter,,60,5,9.7,0,0,nan
2358,BE McGain,6d62117a,,Batter,,60,2,11.3,0,0,nan
2359,H Patel,c4ff0618,Canada,Batter,,59,2,7.12,10,182,nan
2360,LA Musiani,efbd35a9,Argentina,Batter,,59,2,7.53,10,118,nan
2361,M Raikes,a9b998d9,Gibraltar,Batter,,59,3,13.32,7,248,nan
2362,J Ghadiyali,53419aff,Swaziland,Batter,,59,4,5.39,5,59,nan
2363,NH Ekanayake,00c98c78,Bahamas,Batter,,59,3,5.59,4,30,nan
2364,D Panda,bad1af65,Mexico,Batter,,59,10,5.69,2,49,nan
2365,ZM Tribe,96fe3e9f,Jersey,Batter,,58,3,5.79,25,390,nan
2366,Huzaif Yousuf,95e47073,Bulgaria,Batter,,58,1,9.62,2,16,nan
2367,Tanveer Ahmed,571f11e4,Hong Kong,Batter,,57,2,8.74,1,7,nan
2368,E Isaneez,ab591e7d,Uganda,Batter,,56,1,5.46,2,8,nan
2369,A Mongar,940255af,Bhutan,Batter,,56,6,5.57,2,7,nan
2370,ND Doshi,6ec424a9,India,Batter,,56,2,8.36,1,0,nan
2371,B Yadav,ef07f354,Nepal,Batter,,55,1,9.05,11,91,nan
2372,LG Moras,d5dea4e7,Brazil,Batter,,55,0,6.44,3,6,nan
2373,D Warren,ef55b38c,Australia,Batter,,55,2,8.07,3,13,nan
2374,SB Joshi,670709ec,India,Batter,,55,1,8.95,2,6,nan
2375,DC Thomas,08a4f9ad,West Indies,Batter,,54,4,10.56,73,1149,nan
2376,JN Mohammed,773cec26,West Indies,Batter,,54,0,7.78,48,860,nan
2377,NR Kirton,6b75c2b1,Canada,Batter,,54,4,10.78,36,753,nan
2378,Kamran Ghulam,35f4cf7e,Pakistan,Batter,,54,1,8.33,28,578,nan
2379,Pargat Singh,d2e67105,Canada,Batter,,54,3,9.56,21,430,nan
2380,Isa Zaroo,9822fb85,Bulgaria,Batter,,54,4,9.44,19,358,nan
2381,Rahat Kazi,d4bebd88,Timor-Leste,Batter,,54,1,8.33,8,35,nan
2382,WJ Malinda,8f5313ce,Maldives,Batter,,54,1,6.78,7,24,nan
2383,B Jerkovic,63bd7086,Croatia,Batter,,54,4,10.56,7,34,nan
2384,Shariq Munir,298d9b83,Qatar,Batter,,54,0,8.44,7,116,nan
2385,D Potgieter,60fbf53a,Australia,Batter,,54,4,8.56,6,80,nan
2386,Naseem Khan,cfbd3998,Croatia,Batter,,54,2,9.22,5,49,nan
2387,D Nanda,22651574,Indonesia,Batter,,54,4,2.22,5,73,nan
2388,Anik Ahmed,ccda520f,Italy,Batter,,54,2,8.11,4,53,nan
2389,MS Diawara,8c95e2dd,Mali,Batter,,54,3,7.67,4,11,nan
2390,Chaudhary Akram,3e697d4a,Norway,Batter,,54,5,6.89,4,108,nan
2391,Manish Sharma,5473ec6f,Cambodia,Batter,,54,3,8.0,4,20,nan
2392,WSLK Narayana,4d21a67a,Israel,Batter,,54,1,7.0,4,66,nan
2393,PS Roberts,fd43bb69,Croatia,Batter,,54,1,6.0,4,59,nan
2394,LKW Ezechiel,f80bd415,Ivory Coast,Batter,,54,0,11.78,4,4,nan
2395,Raza-ur-Rehman,d146924b,Canada,Batter,,54,2,6.44,4,25,nan
2396,Karweng NG,6af3f1e6,Philippines,Batter,,54,0,8.44,3,21,nan
2397,J Jagroo,a0a27cd4,Bahamas,Batter,,54,1,7.56,3,26,nan
2398,G Fatouros,b388d623,Greece,Batter,,54,3,6.78,3,69,nan
2399,NL Ujawe,7c7c4988,Slovenia,Batter,,54,3,6.44,3,3,nan
2400,IW Budiarta,27320242,Indonesia,Batter,,54,2,5.56,3,4,nan
2401,Mohammed Alamgir,e0f12392,Eswatini,Batter,,54,3,7.67,3,44,nan
2402,V Hampihallikar,241a104c,Singapore,Batter,,54,0,10.78,3,15,nan
2403,TO Thilappan,44482748,Singapore,Batter,,54,1,9.0,3,2,nan
2404,Serdar Burak Emir,6d9238ac,Turkey,Batter,,54,1,12.56,3,42,nan
2405,LJ Leokaoke,456884dd,Lesotho,Batter,,54,1,6.11,3,10,nan
2406,T Makaya,e3f53051,Malawi,Batter,,54,2,5.78,3,4,nan
2407,C Bevin,1e3db5f4,Croatia,Batter,,54,2,9.0,3,24,nan
2408,JM James,24f6e254,West Indies,Batter,,54,2,6.56,3,19,nan
2409,Mohammad Ahsan,62474838,Kuwait,Batter,,54,2,10.33,2,12,nan
2410,Tasaduq Hussain,f62fa324,Sweden,Batter,,54,2,6.56,2,2,nan
2411,JE Scott,732c9016,Bahamas,Batter,,54,2,6.11,2,4,nan
2412,AA Paradkar,96f5b685,United States of America,Batter,,54,4,7.67,2,16,nan
2413,M Turner,27847fec,Turks and Caicos Island,Batter,,54,2,3.89,2,25,nan
2414,Syed Ali Gillani,1ee9a0f6,Sweden,Batter,,54,3,8.22,2,4,nan
2415,H Beresford-Peirse,30291c08,Croatia,Batter,,54,2,9.67,2,10,nan
2416,K Upadhyay,27e71d47,,Batter,,54,0,8.78,2,12,nan
2417,Shahid Aziz,8d964ae6,Pakistan,Batter,,54,5,8.33,2,30,nan
2418,P Kerai,ab343e93,Kenya,Batter,,54,3,8.22,1,0,nan
2419,C Outerbridge,ff722bc8,Bermuda,Batter,,54,4,5.22,1,0,nan
2420,VRB Arachchige,70e1b3a8,Malta,Batter,,54,2,9.0,1,5,nan
2421,N Hirani,4d290e7a,Kenya,Batter,,54,5,6.56,1,19,nan
2422,MJ Mason,aab3e7be,New Zealand,Batter,,54,2,6.78,1,2,nan
2423,MS Aulakh,c4d28aa3,Canada,Batter,,54,3,7.89,1,0,nan
2424,Zaheer Maqsood,52e8dd6b,United Arab Emirates,Batter,,54,1,8.89,1,2,nan
2425,K Yadav,030f3089,India,Batter,,54,2,9.33,1,0,nan
2426,J Layne,2f43ee81,India,Batter,,54,0,12.22,1,1,nan
2427,G Mubiru,732ce0c2,Uganda,Batter,,54,4,5.33,0,0,nan
2428,MW Edwards,5f222a64,Australia,Batter,,54,2,9.11,0,0,nan
2429,M Govia,4ef73fb3,Pakistan,Batter,,54,2,8.89,0,0,nan
2430,A Mnyaka,bd36db2c,,Batter,,54,3,8.11,0,0,nan
2431,Walid Ghauri,331e137f,Norway,Batter,,53,2,7.7,25,743,nan
2432,Atif Rasheed,c7726eec,Finland,Batter,,53,5,7.02,16,215,nan
2433,S Gasteratos,11174f6d,Greece,Batter,,53,5,4.64,2,6,nan
2434,Naman Dhir,fffa744b,India,Batter,,52,0,8.65,19,392,nan
2435,D Nikolov,9c3a8776,Bulgaria,Batter,,52,0,9.92,18,104,nan
2436,Amir Zaib,973006cc,Portugal,Batter,,52,4,8.42,16,243,nan
2437,S Jamil,3d6617c6,Belgium,Batter,,52,2,9.35,10,75,nan
2438,Yahya Suhail,d1f14716,Timor-Leste,Batter,,52,2,7.96,8,81,nan
2439,Kamran Shazad,75186c24,United Arab Emirates,Batter,,52,2,8.31,2,21,nan
2440,Sana Ullah,bc02b37a,South Korea,Batter,,52,2,7.27,1,0,nan
2441,SR Tendulkar,d2c2b2d5,India,Batter,,51,1,8.12,79,2344,nan
2442,Deng Jinqi,871cf744,China,Batter,,51,2,7.76,4,53,nan
2443,Tauqeer Hussain,84d0b84c,Spain,Batter,,51,4,5.65,2,6,nan
2444,RN Patel,db1bf9c2,Kenya,Batter,,50,7,6.12,45,797,nan
2445,GH Worker,51a36d3e,New Zealand,Batter,,50,3,9.12,8,178,nan
2446,Sai Hla Htwe,740d29d5,Myanmar,Batter,,50,3,5.88,2,6,nan
2447,Rhys Burinaga,a6cbe67b,Philippines,Batter,,49,6,7.1,12,66,nan
2448,MC Alex,3a200eb2,Ivory Coast,Batter,,49,0,8.69,5,8,nan
2449,Sajid Khan,54909313,Croatia,Batter,,49,1,8.57,5,10,nan
2450,TE Kane,af28816c,Ireland,Batter,,49,4,7.84,3,37,nan
2451,S Dhawan,0a476045,India,Batter,,48,4,8.12,288,8528,nan
2452,CA Lynn,45eda7c8,Australia,Batter,,48,3,6.5,236,6779,nan
2453,M Vijay,4b57e452,India,Batter,,48,0,7.12,113,2740,nan
2454,JA Burns,7a5f232a,Italy,Batter,,48,3,7.0,72,1557,nan
2455,T Stubbs,85b3fab2,South Africa,Batter,,48,4,12.75,70,1574,nan
2456,Ahmed Hassan,7c885103,Switzerland,Batter,,48,3,5.38,34,764,nan
2457,D Myers,d96165b5,Zimbabwe,Batter,,48,0,11.75,25,508,nan
2458,NMS Param,270b4de6,Singapore,Batter,,48,2,6.75,12,254,nan
2459,Baseer Khan,75ebfe19,Austria,Batter,,48,5,4.0,11,132,nan
2460,Suman Ghimire,7d990412,Portugal,Batter,,48,2,8.25,10,265,nan
2461,SA Engelbrecht,81a0e294,Netherlands,Batter,,48,5,8.75,10,280,nan
2462,PL Mommsen,a56f4b65,Scotland,Batter,,48,1,5.25,9,242,nan
2463,P Jayeshbhai Patel,3317dc7a,Panama,Batter,,48,0,5.75,8,54,nan
2464,Raihan Hossain,3f05c34d,Timor-Leste,Batter,,48,1,7.25,8,69,nan
2465,JWN Moses,492c17f0,Botswana,Batter,,48,0,5.5,6,45,nan
2466,JS Iggo,6af31962,Singapore,Batter,,48,2,8.5,6,64,nan
2467,Esam Rahman,5ea3a7c6,Japan,Batter,,48,0,10.38,6,200,nan
2468,Amir Ali,3748955d,Oman,Batter,,48,1,6.88,6,89,nan
2469,MJJ Critchley,c5cc48bc,,Batter,,48,2,9.38,6,128,nan
2470,JD Baker,10f7b52b,Samoa,Batter,,48,1,7.5,5,50,nan
2471,Ahsan Hafeez,86229495,Pakistan,Batter,,48,3,9.75,5,56,nan
2472,MJ Ross,d1c7dd6d,Italy,Batter,,48,2,7.62,4,55,nan
2473,VL Mukesh,44744467,Seychelles,Batter,,48,0,8.0,4,10,nan
2474,E Walker,b312a9c1,Isle of Man,Batter,,48,1,8.88,4,3,nan
2475,Samader Shadab,4289ccc9,Greece,Batter,,48,3,9.12,4,26,nan
2476,PK Dimitri,7e665859,Ivory Coast,Batter,,48,1,9.5,4,2,nan
2477,Natim Hassam,c802af1c,Portugal,Batter,,48,2,7.12,4,70,nan
2478,Hayatullah Niazi,877ad201,Norway,Batter,,48,2,6.38,3,43,nan
2479,MO Bacarese,486f252b,Gibraltar,Batter,,48,1,3.88,3,28,nan
2480,Ibrahim Kursad Dalyan,f0f20cf8,Turkey,Batter,,48,1,7.12,3,9,nan
2481,R Nil,b0f9dac4,Seychelles,Batter,,48,1,7.38,2,33,nan
2482,Imran Arif,c10747c3,Saudi Arabia,Batter,,48,3,7.25,2,27,nan
2483,FN Walsh,da738783,Philippines,Batter,,48,5,10.38,2,4,nan
2484,I Stewart,568fe66e,Switzerland,Batter,,48,4,8.38,2,17,nan
2485,CL Cairns,0b130202,New Zealand,Batter,,48,1,6.5,2,3,nan
