#,Player,Country,Role,Balls,Wickets,Economy,Style,UUID
2012,AA Hussein,,Batter,36,2,8.50,,60ef3ddb
2013,VC Ahir,,Batter,36,0,8.83,,0bb68705
2014,JS Henriksen,,Batter,36,1,13.17,,2c6052a6
2015,P Pirabakaran,,Batter,36,4,6.83,,5ab659d9
2016,LR Gaonkar,,Batter,36,1,7.17,,e51abd5e
2017,SM Dhakal,,Batter,36,1,7.00,,9db1b072
2018,Edward Taylor,,Batter,36,2,5.67,,9adb9f71
2019,Hazrat Luqman,,Batter,36,1,9.67,,fdc1ac0f
2020,S Fouché,,Batter,36,1,8.50,,89ce57a8
2021,W Perchard,,Batter,36,0,7.50,,511871c6
2022,JA Turner,,Batter,36,1,10.50,,cdd875d9
2023,M Grzinic,,Batter,36,4,3.00,,58fba7cb
2024,V Rathinasamy,,Batter,36,2,5.33,,305c9b8a
2025,S Foster,,Batter,36,0,10.17,,3595ad3b
2026,G Kuthalingham,,Batter,36,1,4.83,,faff7eac
2027,J Daley,,Batter,36,3,4.33,,7b6623bc
2028,SA Pradhan,,Batter,36,1,9.17,,f1c8a09b
2029,Dayal Joy,,Batter,36,1,9.17,,48fd691d
2030,S Kharvi,,Batter,36,4,9.83,,41a61623
2031,I Mwebaze,,Batter,36,1,5.33,,b4b88cdd
2032,B Keganne,,Batter,36,2,9.83,,cc550389
2033,F Zirahangaje,,Batter,36,1,8.17,,4de681b8
2034,Md Shuayeb,,Batter,36,4,8.00,,66000a39
2035,JL Ontong,,Batter,36,1,13.67,,55f33b32
2036,JH Stander,,Batter,36,2,11.83,,4373c57e
2037,Nazmul Hossain,,Batter,36,1,9.33,,5e5eab39
2038,UWMBCA Welegedara,,Batter,36,1,9.33,,dd37da14
2039,JM Davison,,Batter,36,1,7.00,,5471024e
2040,S Dhaniram,,Batter,36,1,5.17,,123e663a
2041,EC Rainsford,,Batter,36,0,10.33,,f771a151
2042,Abul Hasan,,Batter,36,2,10.00,,5c756df3
2043,KS Lokuarachchi,,Batter,36,2,7.00,,3b50c63a
2044,RJ Campbell,,Batter,36,0,6.50,,f6993a56
2045,PH Solanki,,Batter,36,2,6.33,,c695b423
2046,RS Hangargekar,,Batter,36,3,8.83,,c3c92b42
2047,SD Chitnis,,Batter,36,2,9.00,,facb9086
2048,A Uniyal,,Batter,36,2,10.67,,fdcb08c2
2049,R Ninan,,Batter,36,3,10.83,,ce4cc4d5
2050,Raja Farzan,,Batter,36,2,4.83,,38d1def2
2051,Tayyab Abbas,,Batter,36,2,7.83,,6b972db7
2052,Adnan Rasool,,Batter,36,0,10.33,,b8a75ca8
2053,WG Bosisto,,Batter,36,1,7.33,,04ef663a
2054,T Whitney,,Batter,36,2,8.83,,97af3515
2055,RJG Lockyear,,Batter,36,1,9.17,,c8e7c983
2056,CS Sandri,,Batter,36,2,8.83,,b7ccb3c9
2057,GD Pope,,Batter,36,2,5.33,,0077eaa3
2058,Tillakaratne Sampath,,Batter,36,0,10.17,,dc002962
2059,GS Dinusha,,Batter,36,3,9.67,,4bbfddd5
2060,W Sahan,,Batter,36,0,10.00,,d86d276e
2061,D Elgar,,Batter,36,1,8.00,,33085ffb
2062,P Subrayen,,Batter,36,0,9.83,,7ec9711d
2063,ADS Fletcher,,Batter,35,1,8.74,,1bae756b
2064,A Kaul,,Batter,35,4,5.31,,53d0b0dc
2065,A Badoni,,Batter,35,4,8.40,,872b03f7
2066,RG More,,Batter,35,1,9.77,,b2b23612
2067,Thomas Balkin,,Batter,35,3,7.20,,61c4f340
2068,D Mohammed,,Batter,35,1,7.71,,77079be1
2069,W Barresi,,Batter,34,2,8.65,,0d677597
2070,MO Kain,,Batter,34,0,9.35,,60b46ad1
2071,Sikder Billah,,Batter,34,2,6.35,,aa76333b
2072,Niaz Ali,,Batter,34,0,7.76,,e33a357d
2073,Anskumar Ahir,,Batter,34,1,6.00,,1b62ed99
2074,AJ McKay,,Batter,34,2,5.12,,de3acffe
2075,Sukhkaran Sahi,,Batter,33,1,9.64,,1e43a8c8
2076,Muhammed Imran,,Batter,33,4,7.27,,5278cecc
2077,Zahid Hussain,,Batter,33,0,5.45,,1e5708ac
2078,SF Nhavotso,,Batter,32,1,7.31,,8b6aebf7
2079,DP Michael,,Batter,32,2,9.38,,9815de17
2080,Anmoldeep Singh,,Batter,32,0,8.44,,5db10a22
2081,H Khuttan,,Batter,32,0,7.88,,9c48bdee
2082,Mohammad Irfan (5),,Batter,32,0,12.56,,32885b08
2083,K Alleyne,,Batter,32,3,12.00,,6b07035d
2084,C Wijesinghe,,Batter,32,5,7.88,,0a2d45b0
2085,I Manack,,Batter,32,1,7.88,,5ec126fa
2086,DSK Madushanka,,Batter,31,2,11.03,,248698f4
2087,MN Waller,,Batter,30,0,8.40,,ec4dada1
2088,F Behardien,,Batter,30,3,5.40,,dce2019b
2089,DJ Malan,,Batter,30,1,10.40,,ad9c32a2
2090,BRM Taylor,,Batter,30,1,3.40,,53597be1
2091,ZK Shem,,Batter,30,1,9.80,,87ffd217
2092,K Modise,,Batter,30,3,8.20,,b7f70e36
2093,I Master,,Batter,30,0,10.60,,90ddee48
2094,AM Oyede,,Batter,30,0,6.00,,21946d0d
2095,Charanjeet Singh,,Batter,30,1,7.00,,cb4a3840
2096,DF Jacobs,,Batter,30,4,5.20,,de896b79
2097,S Vesawkar,,Batter,30,0,8.20,,3de06845
2098,Jandu Hamoud,,Batter,30,2,7.80,,324edd0c
2099,Kuldeep Lal,,Batter,30,2,10.40,,8a1d0222
2100,CJ Delany,,Batter,30,0,10.00,,3bc56bd6
2101,WT Mashinge,,Batter,30,1,10.40,,ade3660b
2102,Zahid Abbas,,Batter,30,1,6.40,,dce01d1e
2103,Ashish Rana,,Batter,30,3,4.80,,126c3f6f
2104,Saqib Naveed,,Batter,30,0,13.80,,39e6bad7
2105,B Kalki Kumar,,Batter,30,0,7.00,,7132a1a6
2106,Muhammad Amin,,Batter,30,1,6.80,,ce9ce42f
2107,S Kubheka,,Batter,30,0,9.20,,d0178c53
2108,AB Mengoumou,,Batter,30,1,13.40,,8ad3d034
2109,TW Samuels,,Batter,30,0,8.80,,df3438ae
2110,C Olphert,,Batter,30,0,11.40,,7afc806f
2111,Karthik Pillai,,Batter,30,0,9.00,,fa549641
2112,Iqbal Hossain,,Batter,30,3,5.80,,e1824e7d
2113,E Samson,,Batter,30,2,6.80,,d11272c4
2114,SRMJJ Arachchilage,,Batter,30,0,4.60,,c9473a95
2115,Ankit Dubey,,Batter,30,3,4.00,,65dadc70
2116,Anoop Orsu,,Batter,30,1,8.60,,488b7e22
2117,P Desungnoen,,Batter,30,0,7.80,,e80ed014
2118,S Draunivudi,,Batter,30,0,9.80,,b708c4ad
2119,Asif Iqbal,,Batter,30,2,8.40,,ddcb8503
2120,A Johnson,,Batter,30,0,7.20,,a28a7fba
2121,Zeeshan Abbas,,Batter,30,1,8.20,,328cca93
2122,Muhammet Kursat,,Batter,30,2,5.80,,dc53a969
2123,Manan Ali,,Batter,30,0,8.20,,d0b643e1
2124,M Charlie,,Batter,30,2,5.40,,4631be71
2125,T Martin,,Batter,30,2,8.60,,32e97806
2126,Amit Uniyal,,Batter,30,1,6.00,,085071f2
2127,US Hathinjar,,Batter,30,3,7.80,,5f77f23a
2128,RV Viraj,,Batter,30,2,12.60,,a744d530
2129,C Roberts,,Batter,30,4,5.80,,07ac9c54
2130,LW Potthoff,,Batter,30,4,5.80,,02b87bde
2131,C Cassell,,Batter,30,2,13.00,,2d03c3f8
2132,AZ Shah,,Batter,30,1,10.20,,e0c5125f
2133,J Yon,,Batter,30,4,2.80,,ecd41f8c
2134,TA Dudnath,,Batter,30,3,6.00,,15322a7b
2135,Vishaul Singh,,Batter,30,2,8.40,,8d913205
2136,JN du Plooy,,Batter,30,1,10.00,,945f5357
2137,SV Wiig,,Batter,30,2,7.80,,44f11bd0
2138,SP Krishnamurthi,,Batter,30,2,4.20,,3b8e7647
2139,D Bourne,,Batter,30,1,5.00,,67d40eaa
2140,A Kuthalingham,,Batter,30,1,4.60,,fd4809c8
2141,Davion Codner,,Batter,30,1,8.60,,6a84b40e
2142,Muhammad Zohaib,,Batter,30,1,3.60,,8f75193e
2143,BE Fletcher,,Batter,30,2,10.60,,abd82f3b
2144,H Elder,,Batter,30,1,5.20,,637c65f1
2145,Samarth Shetty,,Batter,30,3,7.00,,324e5c36
2146,RE Francis,,Batter,30,0,5.60,,20ca18bc
2147,Abdul Salman Khan,,Batter,30,1,7.00,,3e86080b
2148,P Sapesa,,Batter,30,0,6.80,,b58316de
2149,PPS Win,,Batter,30,2,4.00,,177a648d
2150,RV Nascimento,,Batter,30,1,7.40,,d9ba93c0
2151,Rahim Khan,,Batter,30,0,6.40,,95dc5adc
2152,JWM Dalrymple,,Batter,30,2,7.40,,1afdbdbf
2153,CM Wright,,Batter,30,4,9.60,,008589a4
2154,T Mupariwa,,Batter,30,1,8.40,,21bf71ab
2155,Alok Kapali,,Batter,30,2,6.80,,54279e23
2156,CT Tremlett,,Batter,30,2,9.80,,a72b14ff
2157,U Bhatti,,Batter,30,1,7.60,,c66d9486
2158,Mohammad Tauqir,,Batter,30,0,6.80,,eb7af112
2159,Farhan Ahmed,,Batter,30,1,7.60,,927694f7
2160,Y Prithvi Raj,,Batter,30,1,10.80,,cfa4bd2b
2161,Shashank Singh,,Batter,30,1,10.20,,26989d80
2162,H Sharma,,Batter,30,0,11.40,,52294a79
2163,SZ Mulani,,Batter,30,0,10.80,,9d704f6f
2164,VS Yeligati,,Batter,30,0,10.60,,38f2c66c
2165,MA Khote,,Batter,30,2,10.20,,0d232ffd
2166,PM Sarvesh Kumar,,Batter,30,1,8.20,,4b4d1957
2167,AS Raut,,Batter,30,0,8.80,,c69a7b5c
2168,DJ Harris,,Batter,30,0,10.00,,39f82db3
2169,Azhar Ali,,Batter,30,0,6.00,,211de69f
2170,D Fallins,,Batter,30,0,8.40,,46fca863
2171,J Merlo,,Batter,30,0,8.00,,02ba80a0
2172,J Seymour,,Batter,30,0,5.60,,cb54a1d6
2173,J Kann,,Batter,30,1,15.20,,cccea5bc
2174,XA Crone,,Batter,30,0,10.20,,e5ee7c83
2175,PG Wintz,,Batter,30,0,7.40,,1013ace8
2176,NT Pascal,,Batter,30,1,11.60,,d69c9b12
2177,JJ Athanaze,,Batter,30,2,8.00,,506caa6a
2178,GM Thomson,,Batter,30,1,8.40,,b06d95da
2179,M Nabe,,Batter,30,3,8.20,,6ed11905
2180,RR Hendricks,,Batter,29,0,11.79,,b8cc58c9
2181,M Brasier,,Batter,29,1,9.72,,fda4150a
2182,Prasad Anish,,Batter,29,0,10.55,,a21d62c9
2183,S Rana,,Batter,28,0,8.36,,90edaaa9
2184,Waqas Ali,,Batter,28,2,7.07,,2fd4669a
2185,AM McCarthy,,Batter,27,0,8.89,,7f148ce7
2186,V Balakrishnan,,Batter,27,3,6.67,,0c1da0c4
2187,Sulaimon Runsewe,,Batter,27,3,8.00,,c25d26dc
2188,P Hingorani,,Batter,27,1,8.44,,ecfdfbad
2189,JA Clarkson,,Batter,27,3,11.78,,bed90114
2190,AAH Bhikari,,Batter,27,3,10.67,,9dba7a41
2191,Zeeshan Zameer,,Batter,27,1,9.33,,aad2830e
2192,M Gherasim,,Batter,26,0,6.46,,692d4cbe
2193,R Cunningham,,Batter,26,2,11.77,,6779e840
2194,T Filer,,Batter,26,3,5.77,,52dfe157
2195,Jitin Singh,,Batter,26,4,10.62,,b7db83eb
2196,A Magdalenic,,Batter,26,0,16.15,,d6a2f3a5
2197,DI Allan,,Batter,26,1,12.23,,5208c0a1
2198,Ravinderpal Singh,,Batter,25,2,6.72,,f80682f8
2199,Adnan Syed,,Batter,25,0,8.64,,540ef551
2200,A Sokovagone,,Batter,25,0,9.36,,10e34eef
2201,V Shaw,,Batter,25,2,5.04,,e05dd44b
2202,Khurram Chohan,,Batter,25,0,11.28,,796e4140
2203,SS Sarkar,,Batter,25,1,8.16,,caa89a48
2204,O Davies,,Batter,25,0,7.44,,0ea54eca
2205,C Archibald,,Batter,25,0,8.40,,c3a8bc99
2206,Abu Jayed,,Batter,24,1,10.50,,1bb0993e
2207,JH Kiani,,Batter,24,1,5.75,,7370ca3d
2208,S Arachchige,,Batter,24,2,6.50,,2a7a3137
2209,N Master,,Batter,24,1,7.25,,4833efb4
2210,K Birkenstock,,Batter,24,0,8.00,,27b8d7b6
2211,Z Abbasi,,Batter,24,1,3.75,,5d9ebb3c
2212,H Singh,,Batter,24,1,10.75,,8209da53
2213,Tafseer Ali,,Batter,24,1,9.25,,b9c3ffcd
2214,LHB Harrington-Myers,,Batter,24,2,5.75,,91136091
2215,S Tobgay,,Batter,24,0,12.50,,d7f1fe76
2216,Shoaib Ali,,Batter,24,1,5.50,,f0e8d51a
2217,Aphsal Ashraf,,Batter,24,2,8.75,,772f226b
2218,W Uisuk,,Batter,24,0,11.00,,f20e7aac
2219,K Subramanian,,Batter,24,3,6.50,,cf06cb34
2220,B Karki,,Batter,24,1,1.50,,edc2a9c6
2221,M Breban,,Batter,24,3,5.75,,52a0b3ed
2222,T Bukenya,,Batter,24,0,9.75,,b5e7d375
2223,T Zotos,,Batter,24,2,4.50,,4c4d245a
2224,Mobashar Ashraf,,Batter,24,1,6.00,,bbfdb0c8
2225,Israr Khan,,Batter,24,0,8.75,,4ee5ded2
2226,Rahel Khan,,Batter,24,1,7.50,,c443b748
2227,H Hiri,,Batter,24,1,3.25,,9dc3ea7e
2228,R Brar,,Batter,24,0,10.75,,45d0af7e
2229,S Franklin,,Batter,24,0,7.00,,0e3552e2
2230,N Ndouteng,,Batter,24,2,14.50,,25640e61
2231,Naveed Fakhr,,Batter,24,1,7.50,,76e84cb1
2232,AK Muslar,,Batter,24,0,8.75,,93f72fdc
2233,TJ Stephenson,,Batter,24,2,6.75,,82340b9d
2234,S Ramakrishnan,,Batter,24,0,10.00,,b0f5175e
2235,R Klein,,Batter,24,1,11.25,,ff1ec94d
2236,AT Nidamanuru,,Batter,24,3,7.50,,a319edf8
2237,E Kahamker,,Batter,24,0,10.50,,41acc8bf
2238,Waqar Khan,,Batter,24,3,15.25,,da21531c
2239,Tenjin Rabgey,,Batter,24,1,3.25,,1fed517a
2240,Basir Ahamad,,Batter,24,2,7.50,,218c7eab
2241,Yash Talati,,Batter,24,3,1.25,,f992c8da
2242,B Schuster,,Batter,24,1,4.25,,dfba63a4
2243,Jun Hyunwoo,,Batter,24,0,6.25,,431f2dd4
2244,Lee Kangmin,,Batter,24,0,9.75,,cd752e8a
2245,Gurpreet Singh,,Batter,24,0,5.50,,1a5d690f
2246,R Francis,,Batter,24,0,8.75,,06b766f4
2247,Tanzeel Sheikh,,Batter,24,0,3.75,,5493ad5c
2248,M Malle,,Batter,24,1,7.00,,e15c6692
2249,JM Joao,,Batter,24,0,9.25,,2ef6c852
2250,A Ashok,,Batter,24,1,6.75,,321be7e3
2251,Zhao Tianle,,Batter,24,1,13.50,,023c40b8
2252,CG Osborne,,Batter,24,3,8.00,,19758a47
2253,D Jamyansuren,,Batter,24,1,13.25,,6ad7d184
2254,J Giyanani,,Batter,24,0,8.00,,2bf69ff5
2255,Guillermo Aburto,,Batter,24,1,6.00,,08deefa3
2256,J Dickinson,,Batter,24,1,5.75,,0b37840b
2257,J Prodehl,,Batter,24,2,2.50,,45be80ed
2258,J Raubenheimer,,Batter,24,2,5.50,,3c338b6a
2259,G Richardson,,Batter,24,1,9.25,,5ca0e315
2260,Dayyaan Galiem,,Batter,24,2,4.50,,47c449c5
2261,J Chialoufas,,Batter,24,1,7.00,,90eac542
2262,T Britton,,Batter,24,2,5.00,,f91c322b
2263,P Deol,,Batter,24,0,7.75,,ecfa6005
2264,Mohamed Shiyam,,Batter,24,1,15.25,,946d4d9a
2265,Azri Azhar,,Batter,24,0,5.50,,23f37c09
2266,Mohamed Miuvaan,,Batter,24,0,7.75,,a5bdacc3
2267,MJ Potts,,Batter,24,2,8.25,,894b2d25
2268,S Baker,,Batter,24,0,12.75,,78c12883
2269,B Mejaro,,Batter,24,1,7.50,,6bd0d89e
2270,Shan Siddiqui,,Batter,24,0,6.75,,e2b86f12
2271,Mohammed Aslam,,Batter,24,3,4.75,,83b3a4eb
2272,GI Gokoel,,Batter,24,0,10.00,,72caebdc
2273,S Kruger,,Batter,24,0,6.25,,1fbc10cd
2274,L McCarthy,,Batter,24,0,19.75,,8eb2e2e6
2275,G Bruno,,Batter,24,2,8.75,,589f2008
2276,Ghayour Ahmad,,Batter,24,0,8.50,,f87f5e5f
2277,HK Kukreja,,Batter,24,1,12.50,,b67bfbf8
2278,Khaled Ahmed,,Batter,24,0,9.25,,5dbdecf1
2279,Nahid Rana,,Batter,24,2,10.00,,5318ee68
2280,OJ Herrington,,Batter,24,1,8.75,,59fa2bbc
2281,Haris Karim,,Batter,24,1,13.00,,5d534cff
2282,JM Polarouthu,,Batter,24,0,9.50,,e1481606
2283,JMJ Lynn,,Batter,24,3,5.00,,70308587
2284,EF Faalupega,,Batter,24,2,6.00,,d3611e29
2285,Arif Nasir Uddin,,Batter,24,0,9.75,,807c91e3
2286,SN Swamy,,Batter,24,0,9.00,,95382501
2287,Zikria Islam,,Batter,24,1,6.00,,a6de4c41
2288,CM Mbebe,,Batter,24,0,6.50,,e7db2a56
2289,Shafiq Jan,,Batter,24,2,7.00,,11cebda3
2290,Mokbul Ahammed,,Batter,24,0,6.00,,0f6ffe16
2291,K Boniface,,Batter,24,1,8.50,,a89433c5
2292,Saran Maliwan,,Batter,24,1,5.25,,c7e5cc8f
2293,A Awasthi,,Batter,24,1,17.50,,93544e69
2294,Ye Ko Ko,,Batter,24,2,6.75,,73c0e40c
2295,JN Gillespie,,Batter,24,1,12.00,,74234d66
2296,JW Wilson,,Batter,24,0,10.75,,91c984a1
2297,GC Smith,,Batter,24,0,11.50,,72861603
2298,N Boje,,Batter,24,1,6.75,,6a0537aa
2299,GJP Kruger,,Batter,24,0,6.75,,2957a836
2300,IDR Bradshaw,,Batter,24,0,5.25,,a7489342
2301,MS Panesar,,Batter,24,2,10.00,,5a37ec26
2302,LPC Silva,,Batter,24,1,9.00,,1be70c88
2303,DR Brown,,Batter,24,0,10.00,,7c70083d
2304,T Taibu,,Batter,24,0,10.25,,75de770f
2305,KM Dabengwa,,Batter,24,0,13.50,,df08c69e
2306,RDM Leverock,,Batter,24,0,5.50,,fbc5c0c6
2307,GA Rogers,,Batter,24,0,12.25,,46050f42
2308,AR White,,Batter,24,2,4.25,,f27f89e8
2309,RT Lyons,,Batter,24,1,6.50,,7d32d965
2310,SG Borthwick,,Batter,24,1,3.75,,51e1ed69
2311,GW Aldridge,,Batter,24,1,11.25,,42a05795
2312,MA Parker,,Batter,24,1,8.50,,4d0055a0
2313,MM Iqbal,,Batter,24,2,3.75,,4ff67681
2314,Asad Ali,,Batter,24,0,7.25,,f476d2a5
2315,I Wardlaw,,Batter,24,2,10.50,,7429c452
2316,Nasir Aziz,,Batter,24,0,5.25,,e70a0811
2317,A Karn,,Batter,24,1,7.75,,357f5314
2318,SS Agarwal,,Batter,24,1,10.50,,b51f72a5
2319,NB Singh,,Batter,24,1,3.50,,b822e99c
2320,P Ray Barman,,Batter,24,0,14.00,,441c72ae
2321,IC Porel,,Batter,24,1,9.25,,fdf7491e
2322,R Goyal,,Batter,24,0,8.25,,266849c1
2323,V Kaverappa,,Batter,24,2,9.00,,d4d929b0
2324,PVSN Raju,,Batter,24,1,12.00,,c27b5a0e
2325,GR Napier,,Batter,24,1,6.75,,611926bc
2326,Mohammad Taha,,Batter,24,0,7.75,,3207b7d2
2327,Akbar-ur-Rehman,,Batter,24,0,7.25,,1a772306
2328,JS Lehmann,,Batter,24,1,8.75,,c96a215f
2329,JA Freeman,,Batter,24,1,9.25,,912f472c
2330,JP Wood,,Batter,24,2,10.25,,3c3adfce
2331,Syed Faridoun,,Batter,24,0,9.00,,43d9353a
2332,ND Bills,,Batter,24,2,11.00,,c9078a9a
2333,CR Swan,,Batter,24,1,4.00,,2a236847
2334,SJC Keen,,Batter,24,1,9.00,,e3882f9a
2335,K Ramsaran,,Batter,24,0,11.00,,92b925f7
2336,PAS McSween,,Batter,24,1,11.00,,b319df8c
2337,N Smith,,Batter,24,0,10.00,,94f9675c
2338,LM Edward,,Batter,24,0,9.00,,a08a3c52
2339,JU Goolie,,Batter,24,0,10.50,,92780e2f
2340,NA Sowter,,Batter,24,2,9.25,,ee0c05c0
2341,M Lakshan,,Batter,24,0,13.25,,aa844d38
2342,A Daniel,,Batter,24,1,7.75,,9e3f1cc4
2343,G Sanketh,,Batter,24,0,13.50,,40db4769
2344,O Cele,,Batter,24,1,9.00,,6e5840e3
