id,name,city,country,total_matches,avg_first_inn_runs,avg_second_inn_runs,bat_factor,bowl_factor,pace_index,spin_index,boundary_rate
202,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,,10,151.4,113.0,0.9918156424265493,1.008251894024808,0.8709677419354839,0.12903225806451613,0.12742268041237115
20,Bellerive Oval,Hobart,,82,164.5731707317073,150.0493827160494,1.0484922607065335,0.953750482932648,0.9255213505461768,0.07447864945382321,0.156944079810974
89,Bermuda National Stadium,Hamilton,,,,,,,,,
145,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,,25,174.04,160.33333333333334,1.0673960928509831,0.9368593408741358,0.9047619047619048,0.09523809523809523,0.16641604010025063
286,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,,6,155.5,145.16666666666666,1.0004298300863508,0.9995703545881736,0.8902439024390244,0.1097560975609756,0.14786264891380518
362,"Boland Park, Paarl",Paarl,,12,164.58333333333334,153.0,1.0226444190425414,0.9778569964096196,0.8778625954198473,0.12213740458015265,0.1425561797752809
282,"Botkyrka Cricket Center, Stockholm",Stockholm,,6,145.33333333333334,139.66666666666666,0.9853139214987942,1.0149049741212084,0.9367088607594937,0.06329113924050633,0.13940648723257418
330,"Brabourne Stadium, Mumbai",Mumbai,,28,178.07142857142858,166.14285714285714,1.0859173243362403,0.9208804184160551,0.8997050147492626,0.10029498525073743,0.18459946792787466
129,"Bready Cricket Club, Magheramason",Bready,,8,171.25,145.375,1.0295249788575953,0.9713217459858454,0.875,0.125,0.17452574525745257
356,"Brian Lara Stadium, Tarouba",Trinidad,,57,146.0701754385965,135.92857142857142,0.9564043916116549,1.0455828191199346,0.9202279202279202,0.07977207977207978,0.14358617490141498
56,"Brisbane Cricket Ground, Woolloongabba",Brisbane,,75,165.49333333333334,152.3783783783784,1.0523011375509277,0.9502983170077619,0.9077412513255567,0.09225874867444328,0.1524365801981332
54,Buffalo Park,East London,,6,157.33333333333334,138.0,1.0031556496677136,0.9968542771316107,0.9102564102564102,0.08974358974358976,0.14225648213034336
176,Bulawayo Athletic Club,Bulawayo,,9,145.33333333333334,131.33333333333334,0.9802497564983782,1.0201481748612446,0.8898305084745762,0.11016949152542377,0.13407015857760693
55,Carrara Oval,,,21,155.8095238095238,141.42857142857142,1.001975439968265,0.9980284547011177,0.9401408450704225,0.059859154929577496,0.14609571788413098
128,"Castle Avenue, Dublin",Dublin,,5,164.4,165.2,1.011840785792304,0.9882977777150658,0.9107142857142857,0.0892857142857143,0.18113522537562604
267,"Cazaly's Stadium, Cairns",Cairns,,,,,,,,,
16,Central Broward Regional Park Stadium Turf Ground,Lauderhill,,23,161.17391304347825,134.7826086956522,1.0205495621372087,0.9798642193386725,0.8709677419354839,0.12903225806451613,0.1402831402831403
160,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,,10,166.6,147.1,1.0244593969282019,0.9761245814118721,0.9343065693430657,0.06569343065693434,0.1469019286007386
295,"Civil Service Cricket Club, Stormont, Belfast",Belfast,,12,135.16666666666666,113.25,0.9515717709807606,1.0508928811216474,0.8848484848484849,0.11515151515151512,0.1153705732018985
269,"Clayton Panama, Panama City",Panama City,,7,117.42857142857143,84.14285714285714,0.9368896164743556,1.067361599932271,0.8850574712643678,0.11494252873563215,0.09595613433858807
76,College Field,St Peter Port,,6,130.16666666666666,110.83333333333333,0.9627639595075209,1.0386761886179519,0.8518518518518519,0.14814814814814814,0.12795125666412796
115,"Coolidge Cricket Ground, Antigua",Coolidge,,11,156.1818181818182,105.0,1.002219674663663,0.9977852413799322,0.8428571428571429,0.15714285714285714,0.1329639889196676
10,County Ground,Taunton,,8,184.375,172.125,1.0536856524196736,0.9490496503426895,0.9038461538461539,0.09615384615384615,0.19069529652351738
122,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,,72,159.97222222222223,151.13235294117646,1.0240076466319414,0.9765552076579652,0.8929845422116528,0.1070154577883472,0.15844267849442495
304,De Beers Diamond Oval,Kimberley,,,,,,,,,
138,"Desert Springs Cricket Ground, Almeria",Almeria,,29,123.75862068965517,113.65517241379311,0.8800688838873449,1.1362746920251383,0.8310991957104558,0.16890080428954424,0.08931926578985402
331,"Dr DY Patil Sports Academy, Mumbai",Mumbai,,37,159.64864864864865,148.0,1.0185595262278246,0.9817786533335378,0.9106382978723404,0.08936170212765959,0.1539671836367723
64,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,,21,165.57142857142858,141.14285714285714,1.03418967138437,0.9669406180216407,0.9007352941176471,0.09926470588235292,0.16258351893095768
237,Dreux Sport Cricket Club,Dreux,,7,143.42857142857142,124.57142857142857,0.9803191729019928,1.0200759381658802,0.8715596330275229,0.12844036697247707,0.12755716004813478
17,Dubai International Cricket Stadium,,,199,150.8643216080402,136.89447236180905,0.9745531101135098,1.0261113423397996,0.8958003169572107,0.10419968304278926,0.1377841211682253
58,Eden Gardens,Kolkata,,111,167.12612612612614,151.72972972972974,1.065047644275049,0.9389251320119814,0.8869093725793958,0.11309062742060416,0.1778657645882986
8,Eden Park,Auckland,,32,167.96875,153.0,1.0505826686983168,0.9518527478080433,0.9389671361502347,0.06103286384976525,0.18039492242595204
34,Edgbaston,Birmingham,,8,175.375,145.5,1.0371183334056768,0.9642101270317069,0.8790322580645161,0.12096774193548387,0.17583015786608602
137,Entebbe Cricket Oval,Entebbe,,19,133.78947368421052,109.36842105263158,0.9327619295371178,1.0720849214935788,0.8740157480314961,0.12598425196850394,0.10488704472106962
281,Estonian National Cricket and Rugby Field,Tallinn,,5,156.0,130.8,1.001016804036493,0.9989842288037595,0.9125,0.08750000000000002,0.1315345699831366
206,Europa Sports Complex,Gibraltar,,17,140.7058823529412,126.82352941176471,0.957061846201742,1.044864554959186,0.8528138528138528,0.1471861471861472,0.12375859434682965
247,"Faleata Oval No 2, Apia",Apia,,12,147.91666666666666,128.91666666666666,0.9823766297724107,1.017939525120495,0.89171974522293,0.10828025477707004,0.13540912382331644
220,"GB Oval, Szodliget",Szodliget,,13,167.76923076923077,121.83333333333333,1.0318741740516617,0.969110406236346,0.9425287356321839,0.05747126436781613,0.15051110327811068
161,"GMHBA Stadium, South Geelong",Geelong,,20,141.95,133.57894736842104,0.9572810149516051,1.044625334025406,0.932806324110672,0.06719367588932801,0.1268773817529702
159,"Gaddafi Stadium, Lahore",Lahore,,93,173.13978494623655,153.46153846153845,1.0950682376320648,0.9131851017452237,0.9037037037037037,0.09629629629629632,0.17244062056656445
199,"Gahanga International Cricket Stadium, Rwanda",Kigali City,,115,132.8608695652174,105.52678571428571,0.8773351730469077,1.1398152390574838,0.873144399460189,0.12685560053981104,0.1274751458384685
344,Geelong Cricket Ground,Geelong,,,,,,,,,
257,Gelephu International Cricket Ground,Gelephu,,18,138.77777777777777,94.22222222222223,0.9498481583022598,1.0527998514914012,0.8594377510040161,0.1405622489959839,0.10420128174697366
210,"Goldenacre, Edinburgh",Edinburgh,,8,153.0,104.375,0.9959301375236574,1.0040864939447078,0.9444444444444444,0.05555555555555558,0.1393348623853211
275,"Grainville, St Saviour",St Saviour,,,,,,,,,
227,"Grand Prairie Stadium, Dallas",Dallas,,7,153.28571428571428,152.0,0.9967842245146686,1.0032261500596051,0.9,0.09999999999999998,0.13693901035673187
134,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,,24,168.5,134.79166666666666,1.0467015993033049,0.9553821267356523,0.9090909090909091,0.09090909090909094,0.16265169353378012
13,Green Park,Kanpur,,5,158.4,160.2,1.004109370252439,0.9959074475608112,0.8813559322033898,0.11864406779661019,0.18588640275387264
38,Greenfield International Stadium,Thiruvananthapuram,,,,,,,,,
131,Gucherre Cricket Ground,Albergaria,,,,,,,,,
243,"Guernsey Rovers Athletic Club Ground, Port Soif",Port  Soif,,13,128.0,116.23076923076923,0.9309362489478672,1.0741874120061259,0.8602150537634409,0.13978494623655913,0.10828025477707007
294,Gymkhana Club Ground,Nairobi,,,,,,,,,
251,"Gymkhana Club Ground, Dar-es-Salaam",Dar-es-Salaam,,7,81.42857142857143,50.285714285714285,0.8767563844976269,1.1405676852561393,0.9207920792079208,0.07920792079207917,0.06555944055944056
191,"Gymkhana Club Ground, Nairobi",Nairobi,,27,131.07407407407408,98.70370370370371,0.9106645318365714,1.0980992067224387,0.8657534246575342,0.13424657534246576,0.11154366960054164
180,"Hagley Oval, Christchurch",Christchurch,,14,159.57142857142858,144.0,1.0115681940210455,0.9885640987039528,0.967948717948718,0.03205128205128205,0.14887551472917326
152,Happy Valley Ground,Episkopi,,14,146.21428571428572,133.5,0.9761325394633303,1.024451044885556,0.8829787234042553,0.11702127659574468,0.12265861027190332
287,Happy Valley Ground 2,Episkopi,,7,144.57142857142858,120.85714285714286,0.9822281643933177,1.0180933883296446,0.8617021276595744,0.13829787234042556,0.10011641443538999
5,Harare Sports Club,,,66,158.56060606060606,136.5625,1.0165626320221743,0.9837072193090283,0.9152334152334153,0.08476658476658472,0.13982554354901705
51,Hazelaarweg,Rotterdam,,5,160.4,146.4,1.0066865087657273,0.9933579036696086,0.85,0.15000000000000002,0.1360708534621578
106,"Headingley, Leeds",Leeds,,,,,,,,,
320,Himachal Pradesh Cricket Association Stadium,Dharmasala,,25,166.96,148.8695652173913,1.0420542308036476,0.9596429537345531,0.9071428571428571,0.09285714285714286,0.18822234452394057
43,Holkar Cricket Stadium,Indore,,12,172.66666666666666,160.25,1.0421742968385548,0.9595323959087353,0.9083969465648855,0.09160305343511455,0.19783501306457635
203,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,,15,122.33333333333333,96.26666666666667,0.9092177979917256,1.099846485857177,0.8277310924369747,0.17226890756302526,0.08388394139615053
91,ICC Academy Ground No 2,Dubai,,5,155.8,135.4,1.000759090185164,0.9992414855956756,0.8970588235294118,0.1029411764705882,0.14517506404782238
153,"ICC Academy, Dubai",Dubai,,41,144.46341463414635,127.58536585365853,0.953458664516681,1.0488131653897248,0.912962962962963,0.08703703703703702,0.12518471606502005
312,ICC Global Cricket Academy,Dubai,,,,,,,,,
193,"Independence Park, Port Vila",Port Vila,,10,143.1,135.8,0.9739904343763048,1.0267041284038385,0.8601398601398601,0.1398601398601399,0.12875900042354935
84,Indian Association Ground,Singapore,,14,150.64285714285714,136.92857142857142,0.9878812591562626,1.0122674063622665,0.8594594594594595,0.14054054054054055,0.16053299492385786
175,"Indian Association Ground, Singapore",Singapore,,5,161.4,154.6,1.0079750780223715,0.9920880206304123,0.890625,0.109375,0.1396551724137931
154,Integrated Polytechnic Regional Centre,Kigali City,,34,125.61764705882354,84.0625,0.8799517865858625,1.136425898832383,0.8842364532019704,0.11576354679802958,0.11986247851226754
346,International Sports Stadium,Coffs Harbour,,,,,,,,,
351,"International Sports Stadium, Coffs Harbour",Coffs Harbour,,,,,,,,,
